Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 68\Prüfablauf - (1 von 100)\F4016_1_Realkollektiv_1_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
169	430672,984	6,156	-2,677	430673,009	5,636	-68,682	
170	430673,034	6,155	-2,689	430673,059	5,637	-68,609	
171	430673,084	6,155	-2,726	430673,109	5,636	-68,705	
172	430673,134	6,155	-2,708	430673,159	5,637	-68,593	
173	430673,184	6,155	-2,700	430673,209	5,637	-68,684	
174	430673,234	6,155	-2,781	430673,259	5,637	-68,650	
175	430673,284	6,155	-2,727	430673,309	5,636	-68,714	
176	430673,334	6,155	-2,773	430673,359	5,636	-68,601	
177	430673,384	6,155	-2,766	430673,409	5,636	-68,705	
178	430673,434	6,155	-2,735	430673,459	5,637	-68,582	
179	430673,484	6,155	-2,731	430673,509	5,636	-68,730	
180	430673,534	6,156	-2,632	430673,559	5,637	-68,588	
181	430673,584	6,154	-2,802	430673,609	5,636	-68,719	
182	430673,634	6,155	-2,776	430673,659	5,637	-68,609	
183	430673,684	6,155	-2,730	430673,709	5,636	-68,709	
184	430673,734	6,155	-2,732	430673,759	5,637	-68,615	
185	430673,784	6,155	-2,727	430673,809	5,636	-68,716	
186	430673,834	6,155	-2,748	430673,859	5,637	-68,609	
187	430673,884	6,154	-2,745	430673,909	5,636	-68,704	
188	430673,934	6,155	-2,750	430673,959	5,637	-68,633	
189	430673,984	6,155	-2,724	430674,009	5,636	-68,746	
190	430674,034	6,155	-2,708	430674,059	5,637	-68,609	
191	430674,084	6,156	-2,594	430674,109	5,636	-68,715	
192	430674,134	6,155	-2,759	430674,159	5,637	-68,596	
193	430674,184	6,155	-2,707	430674,209	5,636	-68,694	
194	430674,234	6,155	-2,728	430674,259	5,637	-68,588	
195	430674,284	6,156	-2,713	430674,309	5,636	-68,708	
196	430674,334	6,155	-2,694	430674,359	5,637	-68,579	
197	430674,384	6,155	-2,730	430674,409	5,636	-68,689	
198	430674,434	6,155	-2,706	430674,459	5,637	-68,592	
199	430674,484	6,155	-2,740	430674,509	5,636	-68,703	
200	430674,534	6,155	-2,740	430674,559	5,637	-68,626	
201	430674,584	6,155	-2,757	430674,609	5,636	-68,697	
202	430674,634	6,156	-2,624	430674,659	5,637	-68,603	
203	430674,684	6,155	-2,731	430674,709	5,636	-68,701	
204	430674,734	6,155	-2,707	430674,759	5,636	-68,602	
