Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 17\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#3.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
157	88580,434	6,107	-2,983	88580,459	5,558	-70,732	
158	88580,484	6,109	-2,925	88580,509	5,559	-70,685	
159	88580,534	6,108	-2,901	88580,559	5,559	-70,736	
160	88580,584	6,108	-2,961	88580,609	5,560	-70,657	
161	88580,634	6,108	-2,924	88580,659	5,557	-70,733	
162	88580,684	6,107	-3,005	88580,709	5,559	-70,694	
163	88580,734	6,109	-2,853	88580,759	5,559	-70,724	
164	88580,784	6,108	-2,907	88580,809	5,559	-70,726	
165	88580,834	6,109	-2,878	88580,859	5,558	-70,755	
166	88580,884	6,107	-2,980	88580,909	5,558	-70,676	
167	88580,934	6,108	-2,925	88580,959	5,559	-70,751	
168	88580,984	6,107	-2,973	88581,009	5,558	-70,700	
169	88581,034	6,107	-2,895	88581,059	5,557	-70,755	
170	88581,084	6,107	-2,949	88581,109	5,558	-70,686	
171	88581,134	6,107	-2,952	88581,159	5,558	-70,739	
172	88581,184	6,108	-2,948	88581,209	5,558	-70,769	
173	88581,234	6,108	-2,961	88581,259	5,558	-70,771	
174	88581,284	6,106	-3,015	88581,309	5,558	-70,753	
175	88581,334	6,108	-2,951	88581,359	5,557	-70,788	
176	88581,384	6,108	-2,901	88581,409	5,558	-70,719	
177	88581,434	6,108	-2,921	88581,459	5,558	-70,777	
178	88581,484	6,108	-2,944	88581,509	5,559	-70,650	
179	88581,534	6,109	-2,893	88581,559	5,559	-70,747	
180	88581,584	6,107	-2,984	88581,609	5,558	-70,625	
181	88581,634	6,108	-3,005	88581,659	5,559	-70,707	
182	88581,684	6,109	-2,857	88581,709	5,559	-70,710	
183	88581,734	6,107	-2,957	88581,759	5,558	-70,767	
184	88581,784	6,108	-2,942	88581,809	5,558	-70,657	
185	88581,834	6,109	-2,841	88581,859	5,559	-70,772	
186	88581,884	6,109	-2,874	88581,909	5,559	-70,725	
187	88581,934	6,107	-3,014	88581,959	5,558	-70,740	
188	88581,984	6,107	-2,976	88582,009	5,558	-70,711	
189	88582,034	6,108	-2,923	88582,059	5,559	-70,759	
190	88582,084	6,107	-2,933	88582,109	5,558	-70,715	
191	88582,134	6,107	-2,979	88582,159	5,558	-70,776	
192	88582,184	6,107	-2,941	88582,209	5,558	-70,685	
193	88582,234	6,107	-2,954	88582,259	5,557	-70,779	
194	88582,284	6,107	-2,977	88582,309	5,558	-70,719	
195	88582,334	6,108	-2,880	88582,359	5,559	-70,706	
196	88582,384	6,107	-2,949	88582,409	5,559	-70,664	
197	88582,434	6,108	-2,935	88582,459	5,557	-70,776	
198	88582,484	6,107	-2,919	88582,509	5,558	-70,683	
199	88582,534	6,108	-2,886	88582,559	5,558	-70,739	
200	88582,584	6,108	-2,909	88582,609	5,559	-70,716	
201	88582,634	6,107	-2,936	88582,659	5,558	-70,741	
202	88582,684	6,108	-2,952	88582,709	5,559	-70,644	
203	88582,734	6,107	-2,942	88582,759	5,559	-70,752	
204	88582,784	6,108	-2,894	88582,809	5,559	-70,647	
205	88582,834	6,108	-2,920	88582,859	5,559	-70,734	
206	88582,884	6,108	-2,888	88582,909	5,559	-70,696	
207	88582,934	6,107	-2,909	88582,959	5,559	-70,725	
208	88582,984	6,108	-2,854	88583,009	5,558	-70,717	
209	88583,034	6,109	-2,862	88583,059	5,558	-70,766	
210	88583,084	6,107	-2,967	88583,109	5,558	-70,702	
211	88583,134	6,107	-2,928	88583,159	5,559	-70,741	
212	88583,184	6,108	-2,933	88583,209	5,559	-70,686	
213	88583,234	6,109	-2,890	88583,259	5,558	-70,749	
214	88583,284	6,108	-2,931	88583,309	5,558	-70,745	
215	88583,334	6,107	-2,927	88583,359	5,559	-70,765	
216	88583,384	6,109	-2,894	88583,409	5,559	-70,697	
217	88583,434	6,108	-2,978	88583,459	5,557	-70,735	
218	88583,484	6,109	-2,851	88583,509	5,558	-70,692	
219	88583,534	6,108	-2,939	88583,559	5,558	-70,736	
220	88583,584	6,107	-2,959	88583,609	5,558	-70,741	
221	88583,634	6,108	-2,877	88583,659	5,558	-70,727	
222	88583,684	6,108	-2,895	88583,709	5,558	-70,685	
223	88583,734	6,108	-2,835	88583,759	5,557	-70,771	
224	88583,784	6,109	-2,831	88583,809	5,559	-70,706	
225	88583,834	6,108	-2,934	88583,859	5,558	-70,725	
226	88583,884	6,107	-2,917	88583,909	5,558	-70,705	
227	88583,934	6,109	-2,885	88583,959	5,559	-70,716	
228	88583,984	6,108	-2,839	88584,009	5,558	-70,702	
229	88584,034	6,109	-2,873	88584,059	5,557	-70,826	
230	88584,084	6,108	-2,912	88584,109	5,557	-70,691	
231	88584,134	6,107	-2,986	88584,159	5,557	-70,805	
232	88584,184	6,108	-2,879	88584,209	5,557	-70,700	
233	88584,234	6,108	-2,860	88584,259	5,559	-70,753	
234	88584,284	6,108	-2,875	88584,309	5,558	-70,738	
235	88584,334	6,109	-2,894	88584,359	5,558	-70,772	
236	88584,384	6,108	-2,909	88584,409	5,558	-70,714	
237	88584,434	6,107	-2,954	88584,459	5,557	-70,793	
238	88584,484	6,109	-2,838	88584,509	5,559	-70,702	
239	88584,534	6,107	-2,879	88584,559	5,557	-70,759	
240	88584,584	6,108	-2,889	88584,609	5,558	-70,738	
241	88584,634	6,109	-2,860	88584,659	5,559	-70,777	
242	88584,684	6,108	-2,901	88584,709	5,558	-70,731	
243	88584,734	6,109	-2,904	88584,759	5,558	-70,794	
244	88584,784	6,109	-2,865	88584,809	5,558	-70,762	
245	88584,834	6,108	-2,879	88584,859	5,558	-70,763	
246	88584,884	6,107	-2,952	88584,909	5,558	-70,706	
247	88584,934	6,109	-2,874	88584,959	5,558	-70,776	
248	88584,984	6,109	-2,896	88585,009	5,559	-70,726	
249	88585,034	6,107	-2,919	88585,059	5,557	-70,812	
250	88585,084	6,109	-2,887	88585,109	5,559	-70,789	
251	88585,134	6,108	-2,864	88585,159	5,557	-70,736	
252	88585,184	6,109	-2,880	88585,209	5,558	-70,746	
253	88585,234	6,109	-2,860	88585,259	5,558	-70,765	
254	88585,284	6,108	-2,842	88585,309	5,557	-70,732	
255	88585,334	6,107	-2,870	88585,359	5,558	-70,819	
256	88585,384	6,107	-2,876	88585,409	5,558	-70,733	
257	88585,434	6,109	-2,922	88585,459	5,558	-70,776	
258	88585,484	6,107	-2,888	88585,509	5,557	-70,792	
259	88585,534	6,108	-2,932	88585,559	5,558	-70,790	
260	88585,584	6,108	-2,794	88585,609	5,557	-70,770	
261	88585,634	6,108	-2,945	88585,659	5,558	-70,753	
262	88585,684	6,107	-2,942	88585,709	5,557	-70,737	
263	88585,734	6,109	-2,890	88585,759	5,558	-70,813	
264	88585,784	6,107	-2,933	88585,809	5,557	-70,788	
265	88585,834	6,108	-2,919	88585,859	5,558	-70,762	
266	88585,884	6,109	-2,789	88585,909	5,557	-70,777	
267	88585,934	6,108	-2,904	88585,959	5,558	-70,825	
268	88585,984	6,109	-2,798	88586,009	5,558	-70,744	
269	88586,034	6,108	-2,887	88586,059	5,558	-70,788	
270	88586,084	6,109	-2,841	88586,109	5,558	-70,731	
271	88586,134	6,108	-2,860	88586,159	5,557	-70,774	
272	88586,184	6,108	-2,872	88586,209	5,558	-70,787	
273	88586,234	6,108	-2,937	88586,259	5,558	-70,768	
274	88586,284	6,107	-2,889	88586,309	5,558	-70,778	
275	88586,334	6,108	-2,945	88586,359	5,558	-70,765	
276	88586,384	6,108	-2,858	88586,409	5,557	-70,773	
277	88586,434	6,108	-2,921	88586,459	5,557	-70,754	
278	88586,484	6,108	-2,860	88586,509	5,558	-70,745	
279	88586,534	6,108	-2,953	88586,559	5,557	-70,752	
280	88586,584	6,108	-2,824	88586,609	5,557	-70,802	
281	88586,634	6,108	-2,818	88586,659	5,557	-70,772	
282	88586,684	6,108	-2,875	88586,709	5,558	-70,763	
283	88586,734	6,108	-2,871	88586,759	5,557	-70,772	
284	88586,784	6,107	-2,855	88586,809	5,558	-70,753	
285	88586,834	6,107	-2,962	88586,859	5,557	-70,834	
286	88586,884	6,107	-2,836	88586,909	5,558	-70,715	
287	88586,934	6,108	-2,873	88586,959	5,558	-70,760	
288	88586,984	6,108	-2,946	88587,009	5,558	-70,742	
289	88587,034	6,108	-2,871	88587,059	5,556	-70,811	
290	88587,084	6,107	-2,950	88587,109	5,558	-70,723	
291	88587,134	6,108	-2,944	88587,159	5,557	-70,724	
292	88587,184	6,108	-2,852	88587,209	5,558	-70,757	
293	88587,234	6,108	-2,966	88587,259	5,558	-70,751	
294	88587,284	6,108	-2,850	88587,309	5,557	-70,771	
295	88587,334	6,107	-2,886	88587,359	5,557	-70,808	
296	88587,384	6,108	-2,809	88587,409	5,557	-70,788	
297	88587,434	6,108	-2,900	88587,459	5,557	-70,787	
298	88587,484	6,107	-2,920	88587,509	5,557	-70,733	
299	88587,534	6,108	-2,938	88587,559	5,558	-70,789	
300	88587,584	6,107	-2,904	88587,609	5,558	-70,722	
301	88587,634	6,109	-2,875	88587,659	5,558	-70,738	
302	88587,684	6,108	-2,847	88587,709	5,557	-70,751	
303	88587,734	6,108	-2,873	88587,759	5,557	-70,747	
304	88587,784	6,109	-2,857	88587,809	5,558	-70,758	
305	88587,834	6,108	-2,961	88587,859	5,558	-70,772	
306	88587,884	6,107	-2,907	88587,909	5,557	-70,768	
307	88587,934	6,107	-2,907	88587,959	5,558	-70,773	
308	88587,984	6,107	-2,928	88588,009	5,558	-70,842	
309	88588,034	6,107	-2,909	88588,059	5,557	-70,739	
