Source File:- C:\Cubus Projects\vi_F4016_Lastkollektiv\Data\Test Run - 21\Prüfablauf - (1 von 1)\F4016_1_Ueberlast_mittig_#2.qtpd
Cycle	Peak Time [s]	Zylinder 2 Weg  [mm] Peak	Zylinder 2 Kraft  [kN] Peak	Trough Time	Zylinder 2 Weg  [mm] Trough	Zylinder 2 Kraft  [kN] Trough	
212	154519,489	6,102	-2,893	154519,514	5,557	-70,644	
213	154519,539	6,103	-2,917	154519,564	5,556	-70,709	
214	154519,589	6,103	-2,933	154519,614	5,556	-70,610	
215	154519,639	6,103	-2,921	154519,664	5,556	-70,661	
216	154519,689	6,103	-2,888	154519,714	5,557	-70,595	
217	154519,739	6,102	-2,960	154519,764	5,557	-70,687	
218	154519,789	6,103	-2,928	154519,814	5,556	-70,658	
219	154519,839	6,104	-2,877	154519,864	5,556	-70,706	
220	154519,889	6,102	-2,879	154519,914	5,557	-70,692	
221	154519,939	6,103	-2,905	154519,964	5,556	-70,741	
222	154519,989	6,103	-2,912	154520,014	5,557	-70,673	
223	154520,039	6,104	-2,877	154520,064	5,557	-70,732	
224	154520,089	6,104	-2,840	154520,114	5,555	-70,747	
225	154520,139	6,103	-2,964	154520,164	5,556	-70,675	
226	154520,189	6,102	-2,892	154520,214	5,555	-70,694	
227	154520,239	6,104	-2,851	154520,264	5,557	-70,703	
228	154520,289	6,103	-2,871	154520,314	5,556	-70,690	
229	154520,339	6,103	-2,902	154520,364	5,556	-70,713	
230	154520,389	6,104	-2,901	154520,414	5,556	-70,705	
231	154520,439	6,103	-2,891	154520,464	5,555	-70,731	
232	154520,489	6,102	-2,927	154520,514	5,556	-70,659	
233	154520,539	6,102	-2,859	154520,564	5,555	-70,705	
234	154520,589	6,103	-2,913	154520,614	5,555	-70,675	
235	154520,639	6,104	-2,888	154520,664	5,556	-70,666	
236	154520,689	6,103	-2,928	154520,714	5,556	-70,637	
237	154520,739	6,104	-2,902	154520,764	5,555	-70,747	
238	154520,789	6,103	-2,903	154520,814	5,557	-70,677	
239	154520,839	6,103	-2,830	154520,864	5,555	-70,737	
240	154520,889	6,104	-2,869	154520,914	5,555	-70,717	
241	154520,939	6,103	-2,861	154520,964	5,557	-70,708	
242	154520,989	6,103	-2,841	154521,014	5,557	-70,649	
243	154521,039	6,103	-2,863	154521,064	5,556	-70,755	
244	154521,089	6,103	-2,825	154521,114	5,556	-70,703	
245	154521,139	6,103	-2,838	154521,164	5,555	-70,740	
246	154521,189	6,103	-2,912	154521,214	5,555	-70,662	
247	154521,239	6,105	-2,813	154521,264	5,555	-70,702	
248	154521,289	6,102	-2,913	154521,314	5,557	-70,666	
249	154521,339	6,104	-2,811	154521,364	5,555	-70,749	
250	154521,389	6,103	-2,859	154521,414	5,555	-70,667	
251	154521,439	6,103	-2,859	154521,464	5,556	-70,709	
252	154521,489	6,103	-2,853	154521,514	5,557	-70,687	
253	154521,539	6,104	-2,801	154521,564	5,556	-70,731	
254	154521,589	6,104	-2,857	154521,614	5,556	-70,735	
255	154521,639	6,103	-2,873	154521,664	5,557	-70,721	
256	154521,689	6,103	-2,901	154521,714	5,556	-70,641	
257	154521,739	6,102	-2,934	154521,764	5,555	-70,749	
258	154521,789	6,102	-2,978	154521,814	5,555	-70,689	
259	154521,839	6,103	-2,926	154521,864	5,556	-70,746	
260	154521,889	6,103	-2,900	154521,914	5,555	-70,669	
261	154521,939	6,102	-2,913	154521,964	5,555	-70,749	
262	154521,989	6,103	-2,848	154522,014	5,556	-70,650	
263	154522,039	6,104	-2,838	154522,064	5,556	-70,747	
264	154522,089	6,102	-2,928	154522,114	5,555	-70,673	
265	154522,139	6,104	-2,836	154522,164	5,555	-70,766	
266	154522,189	6,102	-2,901	154522,214	5,555	-70,682	
267	154522,239	6,103	-2,884	154522,264	5,556	-70,700	
268	154522,289	6,104	-2,835	154522,314	5,556	-70,646	
269	154522,339	6,104	-2,784	154522,364	5,556	-70,745	
270	154522,389	6,103	-2,923	154522,414	5,557	-70,663	
271	154522,439	6,104	-2,833	154522,464	5,556	-70,740	
272	154522,489	6,104	-2,885	154522,514	5,555	-70,684	
273	154522,539	6,104	-2,848	154522,564	5,555	-70,808	
274	154522,589	6,103	-2,894	154522,614	5,555	-70,672	
275	154522,639	6,102	-2,892	154522,664	5,555	-70,781	
276	154522,689	6,104	-2,816	154522,714	5,556	-70,696	
277	154522,739	6,102	-2,880	154522,764	5,556	-70,680	
278	154522,789	6,104	-2,848	154522,814	5,557	-70,631	
279	154522,839	6,103	-2,863	154522,864	5,555	-70,781	
280	154522,889	6,104	-2,901	154522,914	5,556	-70,703	
281	154522,939	6,103	-2,892	154522,964	5,555	-70,718	
282	154522,989	6,103	-2,898	154523,014	5,555	-70,704	
283	154523,039	6,102	-2,896	154523,064	5,555	-70,780	
284	154523,089	6,103	-2,824	154523,114	5,556	-70,679	
285	154523,139	6,102	-2,909	154523,164	5,555	-70,754	
286	154523,189	6,102	-2,909	154523,214	5,555	-70,697	
287	154523,239	6,102	-2,878	154523,264	5,555	-70,736	
288	154523,289	6,103	-2,793	154523,314	5,556	-70,654	
289	154523,339	6,102	-2,876	154523,364	5,556	-70,712	
290	154523,389	6,103	-2,903	154523,414	5,556	-70,696	
291	154523,439	6,103	-2,827	154523,464	5,556	-70,746	
292	154523,489	6,103	-2,789	154523,514	5,555	-70,666	
293	154523,539	6,104	-2,881	154523,564	5,556	-70,730	
294	154523,589	6,103	-2,868	154523,614	5,556	-70,624	
295	154523,639	6,102	-2,869	154523,664	5,556	-70,775	
296	154523,689	6,103	-2,906	154523,714	5,556	-70,697	
297	154523,739	6,102	-2,953	154523,764	5,555	-70,729	
298	154523,789	6,103	-2,891	154523,814	5,556	-70,725	
299	154523,839	6,104	-2,785	154523,864	5,555	-70,777	
300	154523,889	6,104	-2,849	154523,914	5,556	-70,710	
301	154523,939	6,104	-2,862	154523,964	5,556	-70,744	
302	154523,989	6,103	-2,837	154524,014	5,557	-70,665	
303	154524,039	6,102	-2,887	154524,064	5,557	-70,681	
304	154524,089	6,104	-2,858	154524,114	5,555	-70,700	
305	154524,139	6,102	-2,910	154524,164	5,556	-70,748	
306	154524,189	6,103	-2,848	154524,214	5,555	-70,711	
307	154524,239	6,104	-2,870	154524,264	5,555	-70,741	
308	154524,289	6,103	-2,903	154524,314	5,556	-70,666	
309	154524,339	6,103	-2,885	154524,364	5,556	-70,691	
310	154524,389	6,103	-2,851	154524,414	5,555	-70,656	
311	154524,439	6,102	-2,894	154524,464	5,556	-70,710	
312	154524,489	6,102	-2,920	154524,514	5,555	-70,678	
313	154524,539	6,103	-2,786	154524,564	5,555	-70,736	
314	154524,589	6,102	-2,906	154524,614	5,556	-70,639	
315	154524,639	6,102	-2,915	154524,664	5,555	-70,804	
316	154524,689	6,104	-2,843	154524,714	5,556	-70,674	
317	154524,739	6,102	-2,854	154524,764	5,555	-70,743	
318	154524,789	6,104	-2,864	154524,814	5,556	-70,682	
319	154524,839	6,104	-2,899	154524,864	5,556	-70,728	
320	154524,889	6,104	-2,913	154524,914	5,556	-70,618	
321	154524,939	6,103	-2,848	154524,964	5,556	-70,725	
322	154524,989	6,102	-2,846	154525,014	5,556	-70,652	
